Class,Precision,Recall,F1 Score,Support
0,0.21739130434782608,0.2,0.20833333333333334,100
1,0.2604166666666667,0.25,0.25510204081632654,100
2,0.0,0.0,0.0,15
3,0.30612244897959184,0.3,0.30303030303030304,100
4,0.2077922077922078,0.16,0.1807909604519774,100
5,0.38016528925619836,0.46,0.416289592760181,100
6,0.4621212121212121,0.61,0.5258620689655172,100
7,0.40372670807453415,0.65,0.49808429118773945,100
8,0.2857142857142857,0.32,0.3018867924528302,100
9,0.25,0.1,0.14285714285714285,100
10,0.16981132075471697,0.09,0.11764705882352941,100
11,0.3013698630136986,0.22,0.2543352601156069,100
12,0.32038834951456313,0.33,0.3251231527093596,100
