Class,Precision,Recall,F1 Score,Support
0,0.24489795918367346,0.24,0.24242424242424243,100
1,0.2708333333333333,0.26,0.2653061224489796,100
2,0.013888888888888888,0.06666666666666667,0.022988505747126436,15
3,0.2112676056338028,0.15,0.17543859649122806,100
4,0.22857142857142856,0.16,0.18823529411764706,100
5,0.35658914728682173,0.46,0.4017467248908297,100
6,0.4178082191780822,0.61,0.4959349593495935,100
7,0.4198473282442748,0.55,0.47619047619047616,100
8,0.25925925925925924,0.28,0.2692307692307692,100
9,0.2222222222222222,0.12,0.15584415584415584,100
10,0.11594202898550725,0.08,0.09467455621301775,100
11,0.2923076923076923,0.19,0.23030303030303031,100
12,0.32075471698113206,0.34,0.3300970873786408,100
